Term,Translation,Status,ReviewedBuildId,Comment
Enemies/archer_knight_desc,재빠르게 화살을 시위에 메겨 쏘는 기사입니다. 계속 대미지를 입지 않으려면 일찍 노리는 편이 좋습니다.,draft,,
Enemies/archer_knight_dev,"궁수 기사는 보통 이동 후 공격하지만, 근접 공격과 원거리 공격의 차이 때문에 근접 공격 범위로 이동한 첫 턴에는 공격하지 않습니다.",draft,,
Enemies/archer_knight_lore,"활과 화살을 만들기 위해 나무를 채집하는 것은 위험하지만, 일부 기사 기사들은 활쏘기 기술에 전념하며 궁수 기사가 되기 위해 필요한 재료를 모으기 위해 홀로 숲을 헤집고 다닙니다.",draft,,
Enemies/archer_knight_name,궁수 기사,draft,,
Enemies/assassin_desc,"대부분의 기사들은 대열을 맞춰 움직이지만, 암살자 기사는 다른 기사의 길을 막거나 반대로 가로막히곤 합니다. 그래도 강력하고 정확한 공격으로 수많은 전투를 승리로 이끌었기에 다른 기사들은 이 혼란을 감수합니다.",draft,,
Enemies/assassin_dev,암살자 기사가 근접 거리로 곧바로 점프해 후퇴하는 능력은 나중에 두더지 보스인 아보가드로가 사용한 '텔레포트' 메커니즘의 원조입니다.,draft,,
Enemies/assassin_lore,"암살 기사단 외부에서는 이들의 순간이동 능력이 어떻게 작동하는지 아무도 모르지만, 몇몇 용감한 자들이 이들의 무리에 잠입하여 비밀 기술을 배우기 위해 노력하고 있습니다.",draft,,
Enemies/assassin_name,암살자 기사,draft,,
Enemies/ballista_desc,라디아 전역에서 가장 치명적인 무기입니다! 이 무기를 한 발만 쏴도 수많은 생물을 쓰러뜨리고 적의 머리를 날려버릴 수 있습니다!,draft,,
Enemies/ballista_dev,"발리스타 민병대는 사실 여러 개별 적을 하나의 보스로 구성한 것입니다. 체력을 잃으면 기사들이 서서히 사라지게 하는 것도 고려했지만, 너무 귀여워서 없앨 수 없었습니다.",draft,,
Enemies/ballista_lore,"원래 휴대용 용 사냥 무기로 개발되었지만, 발리스타는 지하로 옮기기에 너무 거대했습니다. 결국 광산 입구에 자리 잡고 언제든 공격에 대비합니다.",draft,,
Enemies/ballista_name,발리스타 민병대,draft,,
Enemies/bat_desc,빠르게 날아 목표물과의 거리를 좁힌 뒤 에너지를 빨아들입니다. 떼로 몰려오면 매우 위험합니다!,draft,,
Enemies/bat_dev,"배티는 게임에 최초로 추가된 비행하는 적으로, 그 전까지 적과 전투 시스템의 작동 방식을 대대적으로 개편해야 했습니다.",draft,,
