Term,Translation,Status,ReviewedBuildId,Comment
Trading Cards/bg_11_title,숲,draft,,
Trading Cards/bg_12_title,쉬는 페글린,draft,,
Trading Cards/bg_13_title,숨어 있는 슬렌더린,draft,,
Trading Cards/bg_22_description,슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임 슬라임,draft,,
Trading Cards/bg_22_title,슬라임 타임,draft,,
Trading Cards/card_2_description,공기사가 전투를 준비합니다.,draft,,
Trading Cards/card_2_title,공기사,draft,,
Trading Cards/card_3_description,에그린의 변장은 어설프지만... 효과적입니다!,draft,,
Trading Cards/card_3_title,에그린,draft,,
Trading Cards/card_4_description,칩을 뒤집을까요?,draft,,
Trading Cards/card_4_title,갬블린,draft,,
Trading Cards/card_5_description,해글린의 상점은 진기한 물건으로 가득합니다.,draft,,
Trading Cards/card_5_title,해글린,draft,,
Trading Cards/card_6_description,주인공 페글린이 모험 중 잠시 휴식을 취하고 있습니다.,draft,,
Trading Cards/card_6_title,페글린,draft,,
Trading Cards/card_7_description,교활한 구적이 숲 속을 질주하고 있습니다.,draft,,
Trading Cards/card_7_title,구적,draft,,
Trading Cards/card_8_description,"어둠의 세력에 너무 오랫동안 노출된 페글린으로, 전투 방법 외에는 모든 것을 잊어버렸습니다.",draft,,
Trading Cards/card_8_title,슬렌더린,draft,,
Trading Cards/card_9_description,영리한 구슬발명가는 늘 새로운 구슬을 만들 방법을 찾습니다.,draft,,
Trading Cards/card_9_title,구슬발명가,draft,,
