Term,Translation,Status,ReviewedBuildId,Comment
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/01/Dialogue Text,"어둠 속을 나아가던 중 <style=echo><dangle>신비로운 목소리</dangle></style>가 머릿속에 울리고, 위안을 주는 존재가 당신 앞에 나타납니다.

“여기까지 정말 잘 왔구나, 작은 친구야. 라디아의 잘못을 바로잡으려 애쓰고, 해야 할 일을 해 줘서 고맙구나…”
",draft,,"Draft story text; keeps a gentle, familiar voice and the source paragraph break."
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/02/Dialogue Text,"“여기서 쓰러지더라도, 너는 이미 어둠을 막아 내고 라디아 주민들을 지키는 데 큰일을 해냈다는 걸 알아 두렴.

마지막 적과 맞서기 전에…”",draft,,Draft story text; keeps the comforting informal voice and the source paragraph break.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/03/Dialogue Text,“...도움을 받아 보겠니?”,draft,,Informal offer chosen to match the speaker addressing the player as a little friend.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/04/Dialogue Text,활력 (<style=heal>최대 체력 +[var=maxHPAdd]</style>),draft,,Draft choice label; preserves the [var=maxHPAdd] variable exactly.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/05/Dialogue Text,명료함 (<style=heal2>제거할 구슬을 최대 3개 선택</style>),draft,,Draft choice label; uses the established Korean term 구슬.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/06/Dialogue Text,안정 (<style=heal2>업그레이드 가능한 구슬을 모두 업그레이드</style>),draft,,Draft choice label; uses the established Korean term 구슬.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/07/Dialogue Text,창의력 (<style=heal2>희귀한 유물 3개 중 1개 추가</style>),draft,,The wording does not establish whether the player chooses from three relics; confirm the interaction before approval.
Dialogue System/Conversation/Scenario.Act4.FriendlyPresence/Entry/08/Dialogue Text,"그 존재는 당신에게 힘을 내려 주고, 에너지는 어둠 속으로 흩어집니다.",draft,,Draft story text; describes the presence leaving after granting strength.
Dialogue System/Conversation/Scenario.Castle.AggressiveBrickSlimes/Entry/01/Dialogue Text,"복도를 걷던 중 <style=objectOfInterest>벽돌 슬라임박스</style> 무리가 당신 주변에 <bounce>내리꽂히기</bounce> 시작합니다! 꽤 부주의해 보여 서로 부딪쳐 산산조각 나도록 속일 수도 있고, 거리를 두고 싸울 수도 있겠습니다.",draft,,
Dialogue System/Conversation/Scenario.Castle.AggressiveBrickSlimes/Entry/03/Dialogue Text,벽돌들을 속이기 <style=stone>(펩볼 +3개)</style>,draft,,
Dialogue System/Conversation/Scenario.Castle.AggressiveBrickSlimes/Entry/04/Dialogue Text,<style=damage>싸우기!</style>,draft,,
Dialogue System/Conversation/Scenario.Castle.AggressiveBrickSlimes/Entry/05/Dialogue Text,"벽돌들을 좁은 곳으로 유인하자 서로 부딪쳐 산산조각 납니다. 날아오는 파편을 막다가 뜻밖에도 <style=stone>[var=orb0]</style>, <style=stone>[var=orb1]</style>, 그리고 <style=stone>[var=orb2]</style>를 받아 냅니다.",draft,,
Dialogue System/Conversation/Scenario.Castle.OldBrickSlime/Entry/01/Dialogue Text,"조용한 복도를 걷던 중 발밑의 벽돌 하나가 당신에게 끙 소리를 냅니다! 발을 떼자 몹시 낡은 벽돌 슬라임박스가 뒤집혀 얼굴을 드러냅니다.
""<wave>으으으</wave>, 난 은퇴했으니 이제 그만 내버려 둬. 잠깐... 이 맛있는 <style=stone>펩볼</style> 냄새는? 이렇게 하지. 그걸 먹게 해 주면 없던 일로 해 주마.""",draft,,
